OriginalShorttext,Processed Text
cut off broken wear package,cut broken wear package
REPLACE WEAR PACKAGE LOWER WALL,wear package lower wall
repair wear package rhs inside bkt wall,wear package rh inside bkt wall
oil leak rh boom valve clam pipe adapter,oil leak rh boom valve clam pipe adapter
