OriginalShorttext,Processed Text
REPLACE LIP,lip
Repair RH120 lip at P&H,rh120 lip p h
Replace centre and LH lip shrouds,centre lh lip shroud
Fit a lip shroud,fit lip shroud
Refit left lip shroud,refit left lip shroud
FIT NEW TOOTH,fit new tooth
replace lip shroud pin,lip shroud pin
lh outer lip shroud lost,lh outer lip shroud lost
REFIT RH OUTER ADAPTER,refit rh outer adapter
RH120C-BUCKET FRONT LIP CHANGEOUT,rh120c-bucket front lip changeout
replace lip shroud,lip shroud
WELD CRACK IN LH LIP EAR(FRONT),weld crack lh lip ear front
LH LIP EAR CRACKED,lh lip ear cracked
refit lip shroud,refit lip shroud
repair crack in lh front lip ear,crack lh front lip ear
replace rh lip shroud!,rh lip shroud
fit new tooth,fit new tooth
replace lip shroud lock,lip shroud lock
REPLACE LEFT HAND LIP SHROUD,left hand lip shroud
