OriginalShorttext,Processed Text
L/H BUCKET CYL LEAKING.,l/h bucket cylinder leaking
REPAIR LOOSE BUCKET CYLINDER,loose bucket cylinder
L/H BUCKET CYL GLAND SEAL LEAKING,l/h bucket cylinder gland seal leaking
recover lower wear edge plate (CC1500),recover lower wear edge plate cc1500
R/H BUCKET ROD CYL GLAND SEAL LEAKING,r/h bucket rod cylinder gland seal leaking
GET SUSPENTION ROPE SOCKETS,get suspention rope socket
