OriginalShorttext,Processed Text
BUCKET WON'T OPEN,bucket wo n't open
FIT BUCKET TOOTH,fit bucket tooth
REFIT BUCKET TOOTH,refit bucket tooth
REPLACE 2 BUCKET TEETH,2 bucket teeth
REPLACE MISSING LIP TIPS,missing lip tip
REPLACE BUCKET TEETH.,bucket teeth
replace missing tip,missing tip
OIL LEAK ON BUCKET....,oil leak bucket ....
refit adapter and tooth,refit adapter tooth
O-RING U/S  ON BUCKET RAM,o-ring u/s bucket ram
TWO BUCKET TEETH AND ADAPTORS MISSING.,two bucket teeth adaptor missing
PARTS FOR BUCKET,part bucket
replace bucket tip & pins,bucket tip pin
repair to bucket,bucket
Replace missing adaptors,missing adaptor
fit teeth to bucket,fit teeth bucket
air con. not getting cold.,air con getting cold
"Missing adapter,tooth and pins",missing adapter tooth pin
REPLACE MISSING BUCKET TOOTH,missing bucket tooth
replace teeth,teeth
Replace centre tooth,centre tooth
oil leak dist. block rear of bucket,oil leak dist block rear bucket
Reorder bucket tips SHD16,reorder bucket tip shd16
Replace bucket tip,bucket tip
