OriginalShorttext,Processed Text
cut off broken wear package,cut broken wear package
REPLACE WEAR PACKAGE LOWER WALL,wear package lower wall
repair wear package rhs inside bkt wall,wear package rh inside bkt wall
recover lower wear edge plate (CC1500),recover lower wear edge plate cc1500
