OriginalShorttext,Processed Text
BUCKET WON'T OPEN,bucket wo n't open
L/H BUCKET CYL LEAKING.,l/h bucket cylinder leaking
SWAP BUCKET,swap bucket
REPAIR LOOSE BUCKET CYLINDER,loose bucket cylinder
O-RING U/S  ON BUCKET RAM,o-ring u/s bucket ram
PARTS FOR BUCKET,part bucket
repair to bucket,bucket
Change LH bucket roll cylinder,change lh bucket roll cylinder
L/H BUCKET CYL GLAND SEAL LEAKING,l/h bucket cylinder gland seal leaking
replace stick to bucket hose,stick bucket hose
R/H BUCKET ROD CYL GLAND SEAL LEAKING,r/h bucket rod cylinder gland seal leaking
bucket clam gard is falling off,bucket clam gard falling
