OriginalShorttext,Processed Text
OIL LEAK ON BUCKET....,oil leak bucket ....
air con. not getting cold.,air con getting cold
oil leak rh boom valve clam pipe adapter,oil leak rh boom valve clam pipe adapter
oil leak dist. block rear of bucket,oil leak dist block rear bucket
GET SUSPENTION ROPE SOCKETS,get suspention rope socket
