OriginalShorttext,Processed Text
REFIT BUCKET TOOTH,refit bucket tooth
refit adapter and tooth,refit adapter tooth
REFIT RH OUTER ADAPTER,refit rh outer adapter
replace bent adapter pin,bent adapter pin
"Missing adapter,tooth and pins",missing adapter tooth pin
replace lh outer adapter & tip,lh outer adapter tip
