OriginalShorttext,Processed Text
REPLACE L/H BUCKET CYLINDER GREASE LINE,l/h bucket cylinder grease line
"loose grease line on bucket ,",loose grease line bucket
Replace broken adaptor,broken adaptor
BROKEN GREASE LINE ON BUCKET.,broken grease line bucket
REPLACE BUSTED LIP PIVOT GREASE LINES,busted lip pivot grease line
replace busted grease hose bucket pin,busted grease hose bucket pin
Repair broken grease line on bucket,broken grease line bucket
replace grease line on bucket,grease line bucket
replace broken bucket lube fittings,broken bucket lube fitting
REPAIR BROKEN GREASE FITTING ON BUCKET.,broken grease fitting bucket
Broken grease line on bucket,broken grease line bucket
