OriginalShorttext,Processed Text
REPLACE 2 BUCKET TEETH,2 bucket teeth
REPLACE BUCKET TEETH.,bucket teeth
TWO BUCKET TEETH AND ADAPTORS MISSING.,two bucket teeth adaptor missing
fit teeth to bucket,fit teeth bucket
replace teeth,teeth
