OriginalShorttext,Processed Text
FIT BUCKET TOOTH,fit bucket tooth
REPLACE ADAPTOR LOCK,adaptor lock
FIT NEW TOOTH,fit new tooth
CHANGE ADAPTOR AND TOOTH,change adaptor tooth
replace adaptor & tooth,adaptor tooth
Replace adaptors as required,adaptor required
repalced adaptor pins,repalced adaptor pin
fitted two new adaptors,fitted two new adaptor
REPLACE TOOTH & ADAPTOR,tooth adaptor
Replace missing adaptors,missing adaptor
REPLACE MISSING BUCKET TOOTH,missing bucket tooth
replaced adaptor,replaced adaptor
replace tooth,tooth
replace tooth & adaptor,tooth adaptor
replace tooth & adaptor,tooth adaptor
fit new tooth,fit new tooth
replace adaptor  COMPLETED,adaptor completed
replace adaptor & tooth,adaptor tooth
lost tooth COMPLETED,lost tooth completed
Replace centre tooth,centre tooth
replace tooth,tooth
replace tooth,tooth
replace adaptor keeper pin,adaptor keeper pin
