OriginalShorttext,Processed Text,Cluster
REPLACE MISSING LIP TIPS,missing lip tip,3
replace missing tip,missing tip,3
replace missing tip& adaptor.,missing tip adaptor,3
replace adaptor and tip,adaptor tip,3
replace bucket tip & pins,bucket tip pin,3
replace tip,tip,3
replace adaptor & tip,adaptor tip,3
replace tip,tip,3
replace 2 lost tips,2 lost tip,3
replace tip & pin  completed,tip pin completed,3
Reorder bucket tips SHD16,reorder bucket tip shd16,3
Replace bucket tip,bucket tip,3
