OriginalShorttext,Processed Text,Cluster
CHANGE ADAPTOR AND TOOTH,change adaptor tooth,1
replace adaptor & tooth,adaptor tooth,1
REPLACE TOOTH & ADAPTOR,tooth adaptor,1
replace tooth,tooth,1
replace tooth & adaptor,tooth adaptor,1
replace tooth & adaptor,tooth adaptor,1
replace adaptor & tooth,adaptor tooth,1
Replace centre tooth,centre tooth,1
replace tooth,tooth,1
replace tooth,tooth,1
