OriginalShorttext,Processed Text,Cluster
FIT BUCKET TOOTH,fit bucket tooth,2
REFIT BUCKET TOOTH,refit bucket tooth,2
refit adapter and tooth,refit adapter tooth,2
FIT NEW TOOTH,fit new tooth,2
"Missing adapter,tooth and pins",missing adapter tooth pin,2
REPLACE MISSING BUCKET TOOTH,missing bucket tooth,2
fit new tooth,fit new tooth,2
lost tooth COMPLETED,lost tooth completed,2
