OriginalShorttext,Processed Text,Cluster
REPLACE 2 BUCKET TEETH,2 bucket teeth,5
REPLACE BUCKET TEETH.,bucket teeth,5
fit teeth to bucket,fit teeth bucket,5
replace teeth,teeth,5
