OriginalShorttext,Processed Text,Cluster
REPLACE L/H BUCKET CYLINDER GREASE LINE,l/h bucket cylinder grease line,4
"loose grease line on bucket ,",loose grease line bucket,4
BROKEN GREASE LINE ON BUCKET.,broken grease line bucket,4
REPLACE BUSTED LIP PIVOT GREASE LINES,busted lip pivot grease line,4
Repair broken grease line on bucket,broken grease line bucket,4
replace grease line on bucket,grease line bucket,4
replace broken bucket lube fittings,broken bucket lube fitting,4
REPAIR BROKEN GREASE FITTING ON BUCKET.,broken grease fitting bucket,4
Broken grease line on bucket,broken grease line bucket,4
